Title	URL	Author	Price
Introduction to the ControlLogix Programmable Automation Controller with Labs	/Introduction-ControlLogix-Programmable-Automation-Controller/dp/1111539294/ref=sr_1_24?keywords=automation&qid=1555061385&s=books&sr=1-24	by Gary A. Dunning | Feb 28, 2013	$87
.			
"45"""			
Substation Automation Systems: Design and Implementation	/Substation-Automation-Systems-Design-Implementation/dp/1118987209/ref=sr_1_25?keywords=automation&qid=1555061385&s=books&sr=1-25	by Evelio Padilla | Dec 2, 2015	$80
.			
"01"""			
Programming Controllogix : Programmable Automation Controllers	/Programming-Controllogix-Programmable-Automation-Controllers/dp/8131524094/ref=sr_1_26?keywords=automation&qid=1555061385&s=books&sr=1-26	by Stenerson	
Electronic Design Automation for IC Implementation, Circuit Design, and Process Technology	/Electronic-Automation-Implementation-Circuit-Technology/dp/1482254603/ref=sr_1_27?keywords=automation&qid=1555061385&s=books&sr=1-27	by Luciano Lavagno, Igor L. Markov, et al. | Apr 26, 2016	$124
.			
"89"""			
Manufacturing and Automation Technology, Tech Lab Workbook	/Manufacturing-Automation-Technology-Tech-Workbook/dp/1605255424/ref=sr_1_28?keywords=automation&qid=1555061385&s=books&sr=1-28	by R. Thomas Wright and Michael Berkeihiser	
Automation, Production Systems, and Computer-Integrated Manufacturing (4th Edition)	/Automation-Production-Systems-Computer-Integrated-Manufacturing/dp/0133499618/ref=sr_1_29?keywords=automation&qid=1555061385&s=books&sr=1-29	by Mikell P. Groover  | Aug 23, 2014	$40
.			
"99"""			
Complete Guide to Test Automation: Techniques, Practices, and Patterns for Building and Maintaining Effective Software Projects	/Complete-Guide-Test-Automation-Maintaining/dp/1484238311/ref=sr_1_30?keywords=automation&qid=1555061385&s=books&sr=1-30	by Arnon Axelrod | Sep 23, 2018	$31
.			
"93"""			
Network Programmability with YANG: The Structure of Network Automation with YANG, NETCONF, RESTCONF, and gNMI	/Network-Programmability-YANG-Modeling-driven-Management/dp/0135180392/ref=sr_1_31?keywords=automation&qid=1555061385&s=books&sr=1-31	by Benoit Claise, Joe Clarke, et al. | May 20, 2019	$53
.			
"61"""			
Test Automation in the Real World: Practical Lessons for Automated Testing	/Test-Automation-Real-World-Practical/dp/1520745923/ref=sr_1_32?keywords=automation&qid=1555061385&s=books&sr=1-32	by Greg Paskal  | Mar 5, 2017	$19
.			
"99"""			
Software Test Automation	/Software-Test-Automation-Mark-Fewster/dp/0201331403/ref=sr_1_33?keywords=automation&qid=1555061388&s=books&sr=1-33	by Mark Fewster and Dorothy Graham	
Automation, Production Systems, and Computer-Integrated Manufacturing (5th Edition)	/Automation-Production-Systems-Computer-Integrated-Manufacturing/dp/0134605462/ref=sr_1_34?keywords=automation&qid=1555061388&s=books&sr=1-34	by Mikell P. Groover | Jul 23, 2018	$221
.			
"09"""			
