Date;Open;High;Low;Close*;Adj Close**;Volume
Apr 11, 2019;143.71;144.36;140.50;141.80;141.80;913,4
Apr 10, 2019;141.35;145.44;140.47;143.57;143.57;1,056,700
Apr 09, 2019;141.71;143.37;140.63;141.34;141.34;907,1
Apr 08, 2019;140.85;144.36;139.78;142.28;142.28;753,7
Apr 05, 2019;141.44;144.25;140.91;141.13;141.13;2,196,600
Apr 04, 2019;143.39;143.58;138.87;140.27;140.27;1,289,700
Apr 03, 2019;143.19;145.51;142.55;143.82;143.82;1,367,200
